rainfall,river_level,humidity,month,wind_speed,temperature,soil_moisture,elevation,drainage_density,land_use_index,risk_level
166.07,6.15,100.0,2,17.83,26.4,83.32,597.29,1.01,9.93,2
139.8,6.16,78.17,3,47.22,22.34,58.05,539.82,5.2,8.74,1
124.59,9.96,75.32,12,13.65,24.3,54.71,260.6,1.31,9.18,1
171.53,9.05,92.22,7,32.71,26.09,79.58,554.16,8.6,7.73,2
126.81,6.63,100.0,1,15.74,20.78,60.23,24.92,8.34,7.36,1
271.46,6.05,98.42,7,10.61,26.66,96.32,443.48,6.32,3.47,2
98.63,10.43,98.88,10,23.18,21.1,50.84,56.52,1.28,6.73,2
142.73,6.82,106.26,6,13.04,21.05,79.97,524.59,3.66,1.95,1
63.26,7.44,75.15,11,35.54,23.36,34.09,464.71,8.75,1.06,0
98.36,4.83,76.33,1,29.89,24.19,54.25,133.67,3.22,7.27,0
84.5,9.75,96.83,2,25.09,22.79,54.79,299.59,5.98,6.33,1
89.5,9.1,79.2,9,41.91,24.77,56.78,131.94,1.37,6.32,1
59.08,7.01,77.18,1,33.31,27.68,33.54,480.21,2.88,5.87,1
140.68,10.48,84.01,9,31.14,25.31,68.37,405.93,9.07,8.98,2
171.98,9.66,86.92,2,9.07,26.47,62.02,290.69,9.95,2.58,1
112.49,9.43,80.36,6,25.54,20.2,69.19,152.81,9.76,4.54,1
205.97,9.11,100.0,3,24.84,17.97,80.85,168.14,9.95,5.23,2
148.92,8.62,100.0,5,46.17,35.59,85.25,155.42,5.37,4.35,2
151.73,4.26,100.0,10,15.31,19.26,84.24,483.51,7.32,4.24,1
138.78,12.25,100.0,12,37.26,27.58,100.0,231.51,6.21,4.95,2
104.96,11.85,75.64,11,12.98,22.94,57.21,274.71,7.93,2.94,1
61.56,7.53,63.86,3,55.14,31.82,46.15,293.98,4.95,1.71,0
218.52,9.1,110.0,9,21.61,23.33,80.96,247.91,9.59,7.64,2
198.25,6.8,99.02,7,18.32,23.81,95.76,274.85,6.85,1.43,2
422.91,11.41,110.0,7,31.92,40.94,112.23,722.29,6.73,8.21,3
142.54,11.41,82.36,12,20.71,30.69,65.92,19.73,1.85,7.15,2
77.31,8.31,95.65,8,32.66,21.89,56.01,534.57,3.54,2.6,1
190.46,7.16,100.0,1,53.16,21.65,89.71,483.85,3.14,4.4,2
112.7,4.02,84.23,4,53.34,22.94,66.07,401.12,5.04,3.64,1
120.8,10.9,96.73,5,19.33,24.94,53.88,406.53,7.35,9.72,2
183.79,9.17,100.0,5,30.91,22.47,63.19,317.21,8.77,8.92,2
149.66,8.85,97.69,3,23.43,13.3,65.49,258.1,1.1,5.22,1
31.08,10.03,67.67,8,16.84,27.46,43.1,293.32,8.22,9.8,1
89.0,12.02,69.1,1,9.94,29.22,34.78,346.26,6.65,6.26,2
122.53,12.26,82.93,10,12.95,35.95,49.6,163.84,3.39,4.24,2
124.56,6.83,77.58,6,8.33,17.43,65.44,662.03,6.52,4.76,1
264.86,6.39,100.0,11,34.04,26.48,82.0,115.94,1.33,2.2,2
11.99,8.51,73.15,3,36.88,25.83,39.73,253.69,2.16,9.59,0
80.89,6.79,86.33,11,31.65,26.66,43.22,444.98,9.71,1.8,1
166.96,9.84,97.79,2,43.78,30.75,77.76,338.13,4.53,4.94,2
254.24,9.61,109.32,8,38.54,29.91,91.93,569.03,1.6,1.41,3
150.9,7.72,86.39,8,23.8,14.13,86.0,368.1,4.7,8.87,2
182.17,9.47,100.0,5,19.04,18.6,63.42,164.93,4.28,5.53,2
64.52,4.73,86.89,4,40.12,24.44,45.45,208.73,5.36,6.56,0
92.4,3.84,90.9,2,25.47,27.88,57.95,325.62,3.18,3.42,1
26.69,4.41,65.0,4,33.03,33.44,40.16,370.45,7.71,4.88,0
74.09,9.07,80.77,7,9.89,18.01,58.82,492.31,1.79,8.25,1
193.82,8.24,87.39,8,29.43,28.99,73.25,538.77,7.47,5.82,2
237.24,12.43,97.78,6,30.23,28.2,73.6,164.23,5.33,5.79,3
53.15,8.71,64.66,1,24.98,30.03,30.73,248.99,6.45,8.15,1
199.88,11.5,109.03,8,18.99,28.34,79.37,551.24,8.2,8.43,3
45.67,7.3,78.15,3,28.86,33.55,48.64,367.73,4.95,6.2,0
80.68,3.68,82.09,10,27.31,13.55,63.3,412.01,6.58,5.8,1
345.68,7.29,110.0,6,34.49,32.55,105.11,266.3,5.11,6.44,3
115.87,9.2,87.76,11,31.24,25.14,56.93,133.22,9.18,6.25,1
94.91,6.67,97.4,12,26.99,37.23,59.24,470.16,8.11,1.21,1
168.37,3.5,94.91,1,28.0,21.86,66.68,463.36,6.32,4.59,1
53.1,3.88,84.7,2,38.9,29.26,21.29,524.78,6.28,1.3,0
159.18,3.49,99.17,2,13.75,30.19,64.52,197.94,9.65,2.34,1
39.58,7.57,87.82,1,29.81,25.07,42.8,239.76,6.08,1.59,0
214.04,8.0,104.27,7,28.55,19.11,83.28,276.09,9.08,5.74,2
341.25,10.6,110.0,8,19.82,16.89,103.91,410.95,2.61,6.87,3
42.78,11.16,73.0,7,21.15,23.2,57.5,233.16,1.77,2.87,1
42.84,10.22,83.2,7,17.5,22.39,60.48,418.81,4.11,7.96,1
151.69,11.87,86.92,1,59.02,25.83,55.35,322.54,7.68,7.29,2
58.46,4.2,81.04,5,37.06,26.49,50.34,417.81,1.6,4.65,0
142.43,4.83,81.68,5,23.71,29.56,52.0,476.49,4.77,4.45,1
43.63,4.97,63.71,4,17.15,17.83,40.02,275.52,6.1,5.28,0
195.01,4.03,100.0,11,17.94,28.04,63.81,426.14,1.96,1.68,1
139.46,5.86,98.54,2,23.67,27.5,72.63,168.18,8.27,9.66,1
272.43,10.87,110.0,6,37.33,28.46,104.19,845.81,6.82,7.24,3
154.7,12.38,81.95,7,11.77,18.75,90.47,497.49,9.74,9.5,3
161.45,9.69,100.0,2,10.63,25.48,67.67,481.41,4.97,4.64,2
163.08,10.44,98.77,3,36.37,11.76,79.42,214.73,8.87,5.76,2
389.58,11.37,110.0,9,36.72,22.45,82.1,355.1,4.79,7.64,3
30.21,4.53,66.68,10,21.84,15.33,20.64,289.43,6.3,9.84,0
197.91,12.14,100.0,3,28.96,24.25,72.99,187.22,2.59,2.98,3
127.25,9.29,85.95,3,20.76,32.1,54.13,137.33,5.83,6.34,1
57.11,3.54,87.75,11,29.42,26.43,49.86,159.37,1.05,7.26,0
123.59,9.52,105.34,8,42.98,25.22,79.92,396.19,3.4,8.91,2
267.9,12.21,110.0,6,31.86,27.51,99.29,461.79,9.65,5.19,3
106.4,9.34,95.88,11,9.25,20.95,68.25,713.22,3.34,6.71,1
233.7,10.39,94.37,6,38.31,24.52,82.7,620.77,1.61,3.71,3
71.68,7.45,81.8,11,19.81,22.21,50.83,358.24,8.37,3.27,1
23.89,5.73,68.83,2,29.94,25.44,43.97,263.23,2.18,8.81,0
169.86,12.34,100.0,2,26.98,15.77,68.3,39.53,6.87,4.32,3
170.87,9.53,100.0,3,42.65,28.54,81.4,306.44,9.21,9.71,2
119.36,9.44,75.95,6,11.58,26.83,41.5,221.72,8.18,3.79,1
48.17,7.25,68.6,6,38.38,17.08,52.46,600.54,7.74,2.31,1
91.06,5.31,68.76,1,35.15,30.92,39.11,184.51,1.3,1.71,1
45.19,9.81,76.06,3,22.02,22.53,35.01,523.94,6.55,6.52,0
237.05,11.57,110.0,6,29.64,23.32,110.74,396.15,6.79,5.74,3
117.01,4.89,77.41,8,50.66,23.4,61.81,422.27,1.39,2.46,1
99.04,7.61,79.78,1,17.95,24.12,44.12,270.64,9.65,4.74,1
187.93,9.48,100.0,2,14.6,29.76,100.0,503.4,9.11,4.8,2
157.59,8.25,108.38,7,24.31,31.88,83.13,286.54,5.61,4.72,2
103.74,8.46,76.75,9,22.3,34.06,64.38,477.78,6.91,3.93,1
93.88,5.41,97.87,4,33.43,14.52,60.46,562.94,3.27,4.23,1
114.68,9.75,83.64,11,38.92,22.66,74.3,146.74,1.51,5.78,1
143.82,10.78,82.43,5,9.13,25.39,41.75,408.36,1.16,3.91,2
267.79,8.16,100.0,2,10.01,19.67,94.48,359.26,9.73,1.85,2
183.59,8.78,110.0,8,36.34,24.85,99.51,202.88,8.16,9.27,2
187.02,9.58,100.0,1,22.24,20.05,73.0,487.62,8.04,6.1,2
198.83,8.97,100.0,11,31.88,27.99,86.78,195.54,6.84,3.96,2
141.22,7.77,95.15,11,11.24,30.32,88.76,426.6,6.58,5.17,2
153.38,4.63,96.25,12,24.59,19.22,53.85,261.94,5.94,7.72,1
141.03,10.41,100.0,3,19.18,19.07,83.51,253.63,3.31,3.56,2
138.81,7.91,93.94,11,13.38,20.05,74.74,442.86,8.2,2.66,1
204.76,10.01,92.86,6,6.26,27.39,52.68,613.13,3.05,2.91,3
108.86,8.16,96.97,12,28.78,28.74,53.55,516.06,7.9,2.35,1
75.79,9.29,77.16,7,14.5,18.44,53.41,195.09,4.52,6.35,1
182.5,8.44,90.59,12,41.57,33.39,67.2,472.37,4.04,9.15,2
113.79,7.33,92.12,12,25.66,17.81,47.38,407.18,3.1,5.86,1
305.52,7.67,110.0,8,29.75,28.47,115.0,131.25,9.65,6.71,3
95.86,9.4,81.46,3,12.82,24.9,55.59,512.78,9.34,5.86,1
170.41,8.35,100.0,4,37.95,25.67,72.56,167.67,4.24,1.79,2
331.9,8.93,110.0,6,42.61,26.94,115.0,279.13,5.51,4.57,3
